Incoming_Order_A,Incoming_Order_B,Incoming_Order_D,Incoming_Order_E
95,19,67,55
62,49,16,87
89,30,89,79
86,90,42,28
92,75,68,16
51,74,92,99
59,80,56,73
82,40,88,20
36,30,100,99
54,66,100,55
64,47,36,14
11,95,33,63
64,68,29,47
49,45,52,45
83,87,89,11
38,44,49,84
91,26,29,95
62,81,54,75
26,52,94,21
81,33,20,52
65,73,45,69
14,99,46,51
48,32,38,66
71,81,15,57
93,79,29,27
10,20,95,69
98,86,31,50
44,52,11,43
98,21,48,21
65,58,66,28
85,36,42,94
62,25,97,42
67,17,23,45
35,28,96,65
63,49,53,75
78,68,83,73
88,17,67,20
78,75,26,68
73,19,13,85
88,25,96,77
39,74,91,25
71,90,76,34
51,99,51,99
44,69,48,40
47,53,86,59
46,17,54,18
38,60,46,71
66,26,44,91
49,56,96,13
98,65,69,22
71,85,25,72
28,39,77,65
48,99,44,13
41,100,83,51
82,85,43,99
90,73,28,14
92,76,54,84
70,89,27,32
34,96,26,77
32,87,37,73
87,68,63,40
58,16,55,27
82,66,93,86
62,42,68,68
76,24,21,25
57,91,84,92
80,85,29,75
61,57,13,55
52,52,41,19
41,54,73,11
16,33,33,53
44,46,39,38
17,49,97,26
99,11,99,55
26,91,67,34
83,12,78,21
89,43,97,28
72,18,85,59
61,27,30,25
24,95,31,33
52,43,38,75
41,76,99,24
30,21,68,71
63,32,92,64
38,90,11,10
93,92,79,28
92,36,10,60
33,98,13,95
20,70,10,73
27,55,28,53
55,44,39,80
76,40,97,98
28,96,92,14
32,73,63,57
87,58,83,23
47,13,12,70
66,32,78,13
31,95,17,44
19,60,26,62
56,42,94,52
53,10,33,85
23,33,82,37
66,33,58,41
59,25,73,100
69,41,72,68
23,28,53,81
78,15,75,45
30,18,33,35
57,55,39,83
81,16,82,74
12,95,14,13
39,28,34,15
89,52,28,10
86,47,30,96
58,36,70,17
88,39,21,29
96,29,45,14
85,35,65,61
87,20,39,56
18,72,38,98
69,68,65,74
74,38,85,90
65,90,47,10
82,45,14,75
13,65,90,20
80,57,89,93
76,39,43,62
33,94,67,41
33,87,51,75
67,86,74,72
41,96,21,62
82,10,17,84
50,54,97,80
81,95,89,98
100,22,24,81
37,32,23,17
23,55,44,70
92,71,21,35
59,40,89,70
98,37,92,41
67,80,14,28
100,12,94,32
59,81,89,30
57,48,85,100
22,67,70,71
42,74,22,95
12,18,47,22
24,92,95,55
77,84,38,20
12,44,23,36
43,27,25,84
88,15,58,85
73,38,11,77
72,74,71,39
27,83,19,14
50,39,43,75
62,30,22,56
100,39,70,99
28,97,31,21
32,18,74,64
33,24,67,50
78,73,41,74
51,22,14,15
15,34,100,86
56,83,68,99
29,37,10,33
82,64,78,57
37,62,44,77
12,34,14,64
64,32,29,93
86,36,91,17
44,89,27,94
78,11,18,55
56,18,29,94
59,41,100,12
97,30,67,14
83,61,61,41
12,59,59,100
74,55,88,15
52,37,58,53
96,56,70,35
30,81,82,39
34,83,96,20
17,58,13,72
49,83,34,98
19,13,79,76
67,24,62,52
83,78,43,92
73,45,72,18
79,38,66,38
41,62,39,31
86,43,76,55
49,92,30,55
84,45,88,74
67,86,12,47
23,64,66,68
17,92,69,53
11,54,69,100
16,97,82,72
51,62,40,97
20,12,10,27
12,77,87,93
78,88,82,21
45,18,56,24
77,97,89,54
51,61,46,33
50,77,86,57
53,30,76,30
53,95,67,75
83,68,99,78
46,59,99,14
92,97,88,57
13,60,42,70
80,58,11,52
21,14,90,87
66,59,13,71
10,77,41,49
59,43,35,90
10,71,100,78
96,61,30,59
92,28,35,86
82,59,42,11
93,53,17,24
23,40,60,70
24,70,16,14
27,15,65,23
66,43,16,24
92,49,88,92
100,98,97,33
74,73,44,97
76,66,65,95
92,24,46,26
46,49,83,37
32,43,19,17
25,95,97,47
20,51,89,53
83,87,58,46
23,69,68,75
34,90,83,95
84,10,54,49
38,94,37,35
99,96,26,15
34,24,76,15
58,15,73,64
38,38,57,31
92,63,93,36
43,57,34,54
49,49,36,41
56,93,37,42
95,61,41,62
12,95,73,10
75,62,21,68
91,26,68,51
12,99,73,14
57,100,10,91
39,50,29,32
88,79,12,11
60,67,35,23
72,26,20,31
51,62,35,40
67,69,63,59
36,64,12,95
10,59,12,100
62,63,67,97
38,74,65,29
57,80,37,94
93,18,42,21
48,93,60,93
32,50,47,35
43,73,21,56
94,45,99,72
95,14,93,37
86,70,87,77
93,43,11,18
30,60,18,24
17,34,18,45
30,28,63,22
38,36,67,62
25,86,79,30
65,94,75,27
47,99,77,25
84,47,19,42
26,80,60,58
73,25,75,18
31,77,34,48
62,48,35,95
41,86,42,84
15,27,49,60
30,84,27,51
70,16,25,30
55,86,15,32
57,48,88,36
25,22,55,68
61,37,34,20
100,74,11,98
84,50,67,57
64,31,37,86
98,31,69,67
92,73,54,24
64,68,95,36
12,15,66,27
18,83,53,71
15,22,100,17
51,31,81,99
44,11,17,45
98,56,19,35
25,87,52,44
98,94,76,54
79,52,61,25
85,19,27,13
67,53,46,37
70,36,22,100
53,38,25,55
11,32,20,34
42,96,80,36
54,46,71,13
76,10,51,92
52,55,10,19
51,73,71,35
22,84,92,57
10,78,92,30
79,73,80,12
39,28,69,22
99,41,11,41
30,51,85,40
40,22,84,66
57,48,58,84
78,19,88,52
52,17,95,35
21,86,36,19
38,25,25,82
55,53,53,65
71,66,33,84
80,95,40,45
21,37,69,51
12,26,63,72
57,89,33,52
83,37,59,50
11,35,38,64
71,23,13,25
72,50,78,56
50,31,98,57
93,42,15,80
68,40,30,91
10,66,33,56
54,50,90,14
88,71,26,19
85,37,16,48
69,39,40,35
71,100,70,39
62,31,49,72
34,79,44,87
61,73,27,36
71,68,98,43
42,21,57,70
87,10,89,84
27,77,70,36
78,17,22,21
36,32,92,59
80,100,56,49
48,97,14,50
83,93,58,59
42,63,32,70
29,51,80,69
79,52,41,35
38,40,24,50
76,98,98,42
77,84,22,76
30,100,76,74
29,37,75,68
28,62,91,25
22,72,47,25
44,44,10,28
12,63,44,99
20,27,36,90
71,38,22,87
82,22,80,17
17,68,61,25
31,40,100,38
28,48,12,52
93,44,37,23
74,14,95,90
60,91,22,85
37,76,73,68
85,39,54,31
49,91,23,80
94,71,66,56
74,100,85,95
53,52,60,44
21,19,28,69
98,21,35,55
24,77,80,15
28,62,91,59
49,29,82,83
46,59,95,61
23,58,36,52
76,88,35,94
27,14,42,48
68,20,19,92
78,50,22,80
29,22,56,76
64,99,20,74
78,28,84,70
68,66,76,95
64,50,16,19
36,81,66,25
76,14,42,86
96,39,76,90
48,52,66,88
81,20,100,38
15,68,93,29
86,58,12,78
27,85,60,63
45,50,32,16
37,36,65,71
17,38,16,78
92,31,41,54
43,94,62,98
58,82,68,21
54,41,22,74
22,50,36,79
28,19,67,66
16,63,25,80
56,76,31,90
33,30,37,82
42,50,89,91
19,71,11,83
81,50,72,22
19,60,46,43
99,27,88,36
26,82,58,17
62,19,12,46
14,52,38,70
81,36,14,32
27,19,26,93
58,87,83,72
77,28,48,96
23,52,10,44
60,65,54,31
29,34,86,86
79,53,99,98
75,58,15,21
26,50,97,22
88,43,63,77
11,33,41,14
88,92,53,11
60,56,87,74
46,73,70,63
79,58,79,55
75,36,20,94
99,53,23,63
35,84,47,79
10,89,46,100
94,95,71,78
88,29,44,92
76,41,98,41
57,20,38,34
74,99,13,41
81,67,75,16
44,74,85,53
80,49,44,90
78,32,80,81
65,45,12,81
46,36,89,20
73,58,81,68
10,84,95,100
80,85,96,62
91,36,24,92
31,26,26,100
20,75,15,76
30,47,97,37
37,26,38,16
90,64,97,54
59,20,71,27
36,18,37,96
22,11,22,14
36,28,66,38
65,53,88,94
39,24,15,40
51,16,19,95
50,54,27,36
85,92,18,66
48,11,13,62
41,30,92,74
71,92,67,41
30,67,91,41
52,85,67,75
38,92,28,42
67,29,90,82
89,77,44,12
50,33,15,54
81,95,27,86
51,97,72,39
69,24,25,83
21,83,72,65
49,14,25,88
92,64,72,59
65,53,76,79
79,64,95,42
55,79,72,19
55,89,42,61
86,55,88,36
16,16,46,38
62,93,41,78
95,15,76,59
57,82,22,19
27,21,62,73
87,92,48,24
32,67,51,75
73,38,70,73
59,88,22,90
96,26,59,95
66,29,42,43
86,39,73,90
10,47,58,66
100,29,40,77
17,93,24,63
39,50,44,32
96,96,30,23
10,33,50,21
84,52,60,71
88,82,75,54
50,100,16,38
33,50,89,97
83,52,45,70
53,95,57,90
22,49,96,27
94,50,76,29
91,96,63,75
54,55,36,11
87,21,85,94
48,95,87,22
72,55,41,10
46,42,68,32
56,91,90,95
27,11,70,98
97,96,33,77
36,17,21,25
19,16,73,49
23,95,36,48
11,53,92,92
75,26,29,75
61,99,77,38
82,40,88,34
56,95,50,29
82,51,14,49
73,43,74,52
80,62,28,14
46,92,22,24
68,99,58,90
26,73,69,77
39,43,39,45
25,88,64,27
47,94,21,88
31,59,59,92
47,74,66,65
98,89,82,88
39,72,84,91
99,69,26,82
67,44,82,94
44,64,59,12
88,32,15,25
66,20,51,17
32,33,11,69
82,50,86,85
49,41,84,37
42,73,32,58
40,44,81,69
73,55,98,65
34,36,57,85
83,18,66,49
36,75,55,43
59,30,48,82
54,52,39,44
87,64,71,83
90,71,47,32
26,47,10,80
63,35,77,32
91,91,59,45
50,68,93,94
93,32,80,35
35,79,18,17
65,58,42,20
72,48,78,52
30,18,31,51
11,30,45,85
47,19,87,63
95,73,45,99
41,78,44,86
80,49,99,38
25,14,41,83
41,25,39,97
23,95,86,53
75,91,27,40
73,46,48,61
72,22,22,27
33,50,37,72
73,49,32,92
30,11,60,15
48,75,82,95
43,69,80,40
42,63,67,69
15,83,56,74
67,84,44,40
74,29,99,47
65,16,94,69
68,43,70,71
25,90,59,14
23,80,38,52
56,33,78,15
89,76,49,28
26,61,27,51
52,35,86,26
49,75,67,28
55,35,36,12
24,41,13,11
41,28,19,59
33,60,70,59
86,50,41,78
82,67,97,37
48,10,38,75
65,46,38,59
23,13,43,79
56,37,65,27
37,17,37,78
88,59,34,90
71,93,49,63
67,87,44,19
21,54,85,20
52,41,52,53
99,10,68,13
96,68,70,85
68,39,72,32
23,45,20,17
68,66,19,78
61,26,71,76
52,61,92,76
48,50,12,77
64,44,16,85
87,86,80,93
78,76,46,63
62,24,32,25
94,92,57,61
15,10,85,54
100,32,79,44
14,22,52,33
28,41,80,80
48,23,21,71
19,35,31,67
66,46,97,50
14,53,13,46
35,34,27,88
15,16,19,88
74,59,11,98
70,67,43,45
44,69,43,90
27,12,26,41
77,19,64,90
40,70,14,67
82,19,35,79
54,16,59,26
57,51,17,42
12,43,49,16
68,71,52,70
41,13,13,84
30,30,88,84
49,35,58,39
44,39,36,85
52,10,27,40
99,60,57,99
43,11,74,100
80,37,60,46
60,92,41,63
90,24,17,47
42,68,34,62
32,51,51,77
92,94,23,87
13,50,85,13
96,28,27,86
60,100,63,92
44,75,89,12
100,21,82,60
15,58,74,98
57,37,89,69
12,90,73,59
61,24,15,39
26,68,50,27
67,97,51,18
99,92,46,24
89,91,15,77
51,70,68,45
74,37,92,94
80,16,45,70
55,25,15,40
58,91,49,78
23,74,65,92
43,19,27,64
22,98,59,29
76,56,42,24
53,25,77,21
50,53,36,48
90,46,55,56
58,29,83,97
47,67,32,92
34,57,95,49
16,34,57,85
48,83,51,39
12,59,61,95
36,40,50,48
55,24,68,67
97,55,71,99
19,24,26,86
71,93,16,12
55,55,15,63
80,93,21,13
23,39,74,35
17,51,26,69
46,57,80,18
82,91,96,18
27,21,34,35
79,46,39,17
36,17,78,52
29,93,17,81
11,84,14,66
46,46,65,94
44,70,84,100
70,59,69,30
16,65,81,59
23,87,35,35
11,99,99,67
20,17,88,14
69,61,10,51
46,92,59,51
39,46,24,70
60,33,16,19
100,21,54,70
85,66,96,79
73,29,28,48
93,44,27,35
13,46,19,92
16,66,35,55
53,96,64,96
41,99,28,38
95,37,60,93
54,34,16,10
59,75,70,19
91,72,99,81
50,34,63,78
89,96,20,75
33,82,49,66
34,28,24,76
39,55,38,57
59,18,93,93
30,57,29,53
71,61,16,40
22,26,22,99
18,16,28,39
89,26,58,23
31,54,53,23
45,15,36,36
62,25,29,78
57,27,67,15
16,49,39,18
89,58,15,86
96,43,89,93
83,68,87,86
35,94,81,67
58,31,49,48
40,100,10,73
60,40,70,84
98,64,100,25
38,42,78,51
70,71,37,19
39,87,33,68
80,82,98,90
39,66,78,93
90,61,63,92
78,23,19,12
79,84,46,43
52,99,34,88
29,67,62,15
13,62,93,69
39,23,27,69
13,35,95,50
73,42,84,98
71,27,30,12
49,100,73,52
79,94,73,75
58,43,61,36
13,23,50,96
22,45,40,91
27,24,19,17
40,58,21,80
14,26,48,74
65,14,40,46
56,65,45,53
66,44,37,98
49,72,38,53
87,57,13,94
51,67,44,93
11,38,10,73
89,62,42,57
69,55,17,97
84,64,74,96
96,10,84,94
14,97,33,62
31,31,44,95
15,16,91,40
48,36,49,35
88,73,86,50
17,94,87,16
53,86,21,23
21,39,23,25
80,85,29,92
86,14,10,32
13,18,58,96
54,26,22,90
31,81,100,22
96,75,70,17
95,21,38,82
65,74,21,49
98,79,59,84
41,27,12,43
91,71,41,19
49,46,94,78
31,16,62,98
95,57,68,10
72,54,60,90
15,90,37,38
89,60,90,71
73,86,79,56
65,51,32,52
76,75,69,60
33,98,21,65
64,11,56,97
84,51,25,30
14,49,79,53
21,80,54,39
86,11,33,65
66,62,45,49
58,35,10,43
32,53,36,56
36,75,31,16
89,67,86,44
48,32,50,99
15,28,69,71
91,87,17,71
28,56,75,54
85,99,62,66
90,70,62,85
54,30,32,51
64,25,25,90
57,39,71,79
66,79,26,29
87,51,75,29
35,61,80,62
90,64,78,88
61,25,61,33
20,41,35,87
30,36,19,39
64,95,64,29
31,10,70,72
21,97,22,92
24,22,13,59
86,59,45,95
64,33,15,33
97,37,13,21
41,79,30,38
64,72,46,28
64,79,28,66
66,27,58,56
15,28,41,39
78,78,15,36
96,21,53,41
58,92,43,36
27,94,66,27
78,55,58,35
10,73,78,25
39,40,49,66
93,67,60,46
63,12,10,91
87,29,54,19
65,51,19,74
84,54,78,51
90,99,63,46
39,100,49,59
21,21,33,98
75,35,60,96
50,17,89,94
21,41,19,34
63,96,26,97
13,61,46,66
28,13,11,43
81,57,10,19
11,94,42,71
37,98,39,56
11,92,99,62
100,79,96,45
62,32,94,11
36,91,89,74
94,37,97,47
56,89,100,14
51,13,83,66
63,15,73,41
34,83,80,58
37,19,65,18
43,49,90,77
32,41,71,56
63,35,44,92
73,42,51,13
16,54,17,91
98,86,54,24
78,66,19,85
83,92,78,23
78,86,57,22
17,23,63,86
53,48,56,91
50,58,15,42
71,33,79,86
50,61,35,91
74,98,48,100
72,30,87,17
73,81,89,21
66,100,18,11
23,33,94,66
79,87,81,56
81,25,78,85
92,93,43,47
31,37,79,68
26,35,49,68
45,92,92,97
39,36,86,49
84,30,75,27
65,38,54,73
79,71,13,16
48,11,51,98
19,23,80,57
20,20,15,31
43,57,62,90
27,14,47,98
84,93,46,58
64,52,88,58
72,65,37,71
54,28,96,53
18,73,43,19
31,12,42,72
52,17,18,69
28,93,76,81
12,29,79,66
76,54,83,51
75,57,88,90
40,26,46,99
86,63,15,42
48,33,80,90
88,69,11,59
69,33,15,50
62,49,24,14
28,55,36,83
58,11,11,74
91,19,43,37
37,18,28,62
89,50,93,73
92,58,34,22
40,98,56,23
72,41,22,98
91,26,45,15
16,98,64,74
89,58,74,91
27,97,98,33
87,42,60,78
70,16,62,24
41,51,25,79
23,99,80,99
67,16,42,57
87,53,94,57
84,87,25,94
67,29,44,10
97,82,41,93
63,15,71,63
28,38,13,96
49,25,99,16
40,98,23,81
100,65,53,98
44,35,80,32
100,93,75,68
57,60,76,89
25,42,37,94
16,74,32,17
43,71,67,96
21,97,56,24
67,15,78,66
47,89,27,23
100,69,90,49
94,23,66,21
23,47,75,36
45,15,41,63
52,89,26,42
61,19,64,87
81,29,77,56
54,74,77,47
48,79,44,13
33,29,21,14
92,24,73,62
12,12,32,34
84,17,88,41
27,90,39,36
72,26,24,96
42,46,12,31
98,80,95,88
21,99,29,59
27,89,55,80
90,93,26,98
63,85,65,100
38,41,69,43
10,67,88,97
30,74,47,67
23,47,23,28
28,64,43,56
91,98,56,58
89,39,80,68
73,93,25,94
52,99,50,35
85,63,65,38
55,93,78,69
43,77,47,64
35,75,34,100
94,20,77,27
45,77,67,82
54,26,94,85
33,78,78,10
90,15,40,81
44,89,53,43
37,27,61,77
75,88,47,66
27,91,96,37
20,19,54,43
86,20,57,84
77,98,91,61
63,99,20,79
32,18,100,26
66,67,74,86
68,43,72,65
39,15,15,37
16,87,82,39
90,70,50,62
51,15,56,47
79,51,92,36
33,47,66,69
63,99,70,59
49,100,63,68
44,30,82,73
21,79,25,60
32,70,74,47
17,49,51,66
37,62,45,74
77,47,40,91
65,13,78,77
71,78,54,15
10,82,17,72
71,95,58,97
55,57,69,20
31,16,14,84
25,94,65,67
26,32,71,16
86,21,78,90
99,23,11,97
93,63,47,69
41,45,68,16
81,74,25,23
59,17,41,76
84,11,86,62
54,97,62,68
63,18,74,48
81,41,36,33
19,11,49,23
58,90,26,25
43,87,99,69
64,63,97,68
97,24,82,73
45,82,21,51
45,16,33,92
81,51,73,48
68,38,23,57
45,100,15,44
72,98,73,46
46,85,96,54
22,51,71,12
51,55,88,54
40,60,82,85
29,60,47,33
94,26,90,29
72,28,10,22
64,74,52,96
77,87,33,20
59,97,64,28
73,79,77,60
94,60,23,22
88,17,82,46
25,17,16,49
33,23,93,37
16,74,37,94
99,35,79,33
31,48,14,94
70,23,34,39
18,31,58,61
29,43,15,27
55,65,55,86
19,98,19,78
45,21,88,52
58,36,59,53
40,100,53,63
60,90,16,87
58,96,90,80
45,58,40,94
73,31,34,65
71,28,23,49
72,83,24,73
61,94,50,61
42,66,10,77
65,72,92,62
95,90,100,37
64,33,33,35
99,62,45,65
50,61,35,95
77,93,99,34
13,39,90,52
79,22,59,80
57,19,86,66
10,35,27,15
35,15,45,30
58,37,75,57
79,62,43,34
14,50,38,48
59,68,32,61
82,57,93,69
69,78,33,26
94,51,63,61
16,80,64,51
35,53,93,49
93,76,58,99
79,80,98,21
64,87,15,66
85,24,76,78
91,75,90,12
98,10,51,76
100,46,82,13
22,61,83,61
16,12,57,35
16,13,59,93
11,31,32,77
98,42,58,48
18,73,76,33
86,27,98,80
72,46,25,11
54,92,34,55
41,39,71,30
42,79,68,50
33,63,85,32
92,14,44,23
76,98,50,38
12,20,28,32
51,41,82,90
35,96,90,53
12,32,39,93
90,96,50,52
80,70,42,32
40,27,58,62
82,22,13,57
39,99,33,12
38,50,75,79
94,76,99,36
98,22,78,35
57,56,71,91
96,18,74,97
90,55,38,80
57,10,52,23
43,13,15,12
74,93,31,51
51,90,49,37
65,80,77,18
100,58,44,59
80,25,57,52
40,77,30,50
18,29,36,74
26,15,51,12
57,38,90,40
47,63,14,81
82,62,30,58
94,85,81,91
26,45,12,93
88,23,60,42
97,13,86,65
97,28,23,31
13,95,14,23
15,13,73,59
10,68,20,45
38,49,85,80
15,27,100,16
36,71,80,35
42,64,54,63
96,16,83,59
53,70,70,29
35,16,27,73
55,30,60,21
68,61,47,19
20,75,33,26
78,62,97,58
87,91,40,97
86,73,45,15
91,98,59,43
44,34,19,54
50,99,16,31
19,27,72,18
30,27,50,46
98,27,57,86
35,20,68,10
92,66,96,64
91,10,78,97
93,83,48,30
24,64,49,97
90,37,39,43
67,91,28,28
29,86,88,36
41,67,71,43
24,16,51,83
50,97,41,83
17,66,52,66
25,91,77,78
27,24,37,61
72,12,51,63
62,37,91,15
89,81,82,50
32,84,20,48
67,90,57,84
13,42,89,25
56,84,54,94
88,24,23,74
99,60,62,96
10,14,65,62
33,75,99,22
30,42,95,48
14,19,52,29
10,70,76,13
54,48,96,56
14,39,86,51
35,43,71,50
68,79,15,69
36,47,81,88
34,90,62,61
63,23,51,75
44,45,31,86
73,89,63,88
55,64,52,74
67,75,40,16
42,86,63,82
36,57,99,55
22,21,42,74
95,39,23,27
83,34,96,82
95,24,70,18
26,65,43,89
94,29,19,96
95,88,43,84
35,51,73,77
34,83,57,91
60,87,87,60
26,70,96,92
50,84,87,19
26,81,37,46
96,62,99,13
54,39,57,93
97,47,10,45
68,37,93,12
54,54,16,47
98,46,44,44
23,40,50,13
67,20,62,67
70,47,92,73
49,22,13,33
15,43,86,71
54,19,82,22
52,44,67,66
83,58,53,32
33,16,72,65
45,33,75,84
31,48,57,34
72,34,74,51
100,61,21,35
26,83,53,39
84,81,29,37
31,28,82,27
15,28,51,18
22,60,62,49
95,43,70,97
90,14,50,96
36,31,77,33
96,97,15,86
87,98,33,19
49,42,11,78
52,13,61,60
67,82,75,56
24,35,86,68
11,14,40,32
34,32,28,36
11,23,53,63
71,92,85,74
60,27,16,68
39,78,30,93
80,22,77,37
23,16,86,71
32,43,57,56
36,65,14,51
27,58,48,15
18,86,38,77
89,49,53,19
18,65,69,35
72,15,18,56
20,77,80,94
10,73,90,32
60,83,71,41
92,19,58,65
88,52,16,58
40,69,90,47
12,10,47,76
82,87,96,87
83,84,25,23
89,56,55,58
70,41,49,74
83,76,55,51
91,90,19,92
51,54,62,11
60,90,86,84
56,23,84,94
72,40,49,39
72,75,94,26
57,42,81,90
85,57,76,36
56,69,80,39
85,63,46,50
35,48,85,30
26,22,65,38
98,47,92,26
77,30,40,19
33,83,67,96
62,81,20,20
96,29,86,61
17,63,42,42
17,70,96,17
66,48,81,67
30,17,23,64
79,76,88,41
61,17,31,61
70,71,78,83
19,17,35,63
17,63,81,31
66,35,45,60
47,46,76,57
17,99,12,96
43,96,17,28
71,62,83,78
27,72,10,71
91,83,20,39
96,75,48,67
97,21,15,71
76,51,89,84
46,85,24,77
77,78,10,71
36,31,69,76
38,88,37,14
65,65,48,51
64,36,32,74
89,15,34,34
33,77,32,65
79,49,56,10
95,98,52,59
10,34,95,82
53,16,92,25
69,32,65,21
86,46,18,74
26,13,81,80
87,45,43,49
43,32,56,31
91,100,25,96
12,25,19,50
17,86,78,73
99,25,97,87
65,62,28,84
48,69,24,24
25,58,100,37
69,96,55,74
13,49,80,13
38,69,90,51
39,89,66,49
65,31,83,64
69,59,48,95
86,99,21,100
94,79,38,50
70,74,79,17
62,45,95,36
46,87,13,21
97,86,47,42
24,49,61,51
91,61,79,63
38,71,63,78
59,81,17,24
72,50,85,75
31,40,68,77
25,22,56,57
56,75,47,25
82,77,44,80
73,27,13,84
20,88,20,44
91,24,27,89
53,85,64,16
96,21,52,75
60,68,14,68
17,57,63,94
28,22,98,23
87,75,75,46
74,79,32,85
91,91,87,75
39,54,46,99
58,57,78,67
69,69,76,73
64,92,32,39
31,44,29,32
48,71,74,21
32,63,18,44
86,26,96,66
99,72,88,53
16,87,57,97
74,52,71,87
40,96,51,15
66,60,51,93
33,90,10,63
69,79,13,84
43,47,27,16
36,37,87,82
92,46,35,45
95,41,43,73
65,14,75,74
29,11,60,73
95,46,83,10
78,27,36,75
78,87,45,37
29,97,84,14
85,36,64,78
31,75,95,25
67,43,50,50
74,88,23,45
77,50,68,100
45,95,58,70
79,69,43,73
92,19,18,58
63,21,100,15
18,47,34,62
21,62,41,67
19,57,20,86
25,88,99,87
21,10,30,86
80,20,12,64
13,39,29,81
31,87,15,63
89,10,93,17
98,58,29,81
65,10,10,98
98,59,88,71
13,53,13,65
96,21,64,11
38,63,90,31
82,66,38,52
83,51,87,61
88,82,76,19
51,15,27,32
94,39,43,50
33,53,58,17
95,39,44,20
66,21,66,93
99,20,55,59
12,80,94,96
75,34,52,33
61,70,28,97
54,87,30,70
33,36,28,75
39,26,95,67
32,62,40,34
29,82,29,13
82,42,45,92
55,86,42,29
17,99,31,89
80,69,29,68
58,91,100,94
77,18,39,32
56,44,100,46
46,88,70,90
99,76,37,61
12,18,79,39
94,31,56,13
94,40,99,49
45,67,67,98
29,78,23,67
66,53,70,35
26,12,16,72
83,89,39,39
33,94,73,91
36,42,85,46
93,83,10,69
92,57,76,38
58,53,68,78
88,95,26,68
42,10,96,29
100,48,64,15
49,31,56,75
36,52,86,34
13,52,90,96
